machine,dataset,version,num_reads,time_s,per_read_ms
spark,150_10,0,1,0.469752,469.752
spark,150_10,0,4,0.4995226666666667,124.88066666666668
spark,150_10,0,16,0.6711963333333332,41.949770833333325
spark,150_10,0,64,1.4038403333333331,21.93500520833333
spark,150_10,0,256,2.9434626666666666,11.497901041666665
spark,150_10,0,1024,11.100831666666666,10.840655924479167
